id,species,owner,countryOfOrigin,ISOofOrigin,company,region,producer,harvestYear,gradingDate,owner1,variety,processingMethod,aroma,flavor,aftertaste,acidity,body,balance,uniformity,cleanCup,sweetness,cupperPoints,totalCupPoints,moisture,color,altitudeLowMeters,altitudeHighMeters,altitudeMeanMeters,mdsX,mdsY
32,Arabica,Specialty Coffee-Korea,United Republic of Tanzania,TZA,,,,2012.0,"September 3rd, 2013",Specialty Coffee-Korea,,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,Bluish-Green,-1,-1,-1,-1.0131560722798558,-1.3646692289982032
33,Arabica,Nucoffee,Brazil,BRA,Nucoffee,Vale Da Grama,Homero Texeira De Macedo Junior,2011.0,"December 3rd, 2011",Nucoffee,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,Green,1300,1300,1300,-0.7725655838112625,-1.3579871979156342
34,Arabica,Francisco A Mena,Costa Rica,CRI,Exclusive Coffees S.A.,West And Central Valley,Exclusive Coffees S.A.,2015.0,"December 3rd, 2015",Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,Blue-Green,1300,1300,1300,-0.9146290168510629,-1.2652367092939
35,Arabica,Hider Abamecha,Ethiopia,ETH,Haider Abamecha Coffee Export,Oromia,Haider Abamecha Abadiko,2014.0,"March 27th, 2015",Hider Abamecha,,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,Green,1750,1800,1775,-0.863603511484413,-1.0422827301035666
36,Arabica,Daniel Magu,Kenya,KEN,C Dorman Ltd,Muranga,Kangunu,2013.0,"May 30th, 2014",Daniel Magu,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,Blue-Green,1800,1800,1800,-0.942871682008837,-1.0844808992384887
37,Arabica,Kona Pacific Farmers Cooperative,United States Minor Outlying Islands,UMI,Kona Pacific Farmers Cooperative,Kona,,2012.0,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,,-1,-1,-1,-0.8499415362993776,-1.2197198850479136
38,Arabica,Kona Pacific Farmers Cooperative,United States Minor Outlying Islands,UMI,,Kona,Kona Pacific Farmers Co-Op,2010.0,"January 28th, 2011",Kona Pacific Farmers Cooperative,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,,-1,-1,-1,-0.8521920623337459,-1.4104549445126553
39,Arabica,Ethiopia Commodity Exchange,Ethiopia,ETH,,Yirgacheffe,Ato Teshome Belamo,2009.0,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,,-1,-1,-1,-0.9922437709461038,-1.0090795748368588
40,Arabica,Cqi Q Coffee Sample Representative,United States of America,USA,Coffee Quality Institute,Antioquia,,2014.0,"March 13th, 2015",Cqi Q Coffee Sample Representative,,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,,1941,1941,1941,-0.9712429613512175,-0.9452189832270991
41,Arabica,Itdp International,Thailand,THA,Lanna Cafe,Chiang Rai,Itdp,2012.0,"April 12th, 2012",Itdp International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,Green,1300,1300,1300,-1.1148946476158343,-1.192026339122759
42,Arabica,Jacques Pereira Carneiro,Brazil,BRA,,Sul De Minas - Carmo De Minas,Maria Rogeria Costa Pereira,2010.0,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,,12,12,12,-0.6697256782548753,-1.0785074835248782
43,Arabica,Jacques Pereira Carneiro,Brazil,BRA,,Sul De Minas - Carmo De Minas,Maria Rogeria Costa Pereira,2010.0,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,,12,12,12,-0.7311963388942606,-1.2987612221964586
44,Arabica,"Lin, Che-Hao Krude",Taiwan,TWN,Taiwan Coffee Laboratory,Natou County,Lin Yen Chien,2015.0,"June 10th, 2015","Lin, Che-Hao Krude",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,Green,1000,1000,1000,-0.8504929291830184,-1.2532954856511191
